ID,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain
2404,Married,53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0
9422,Married,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0
1966,Married,84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0
6864,Divorced,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0
3033,Together,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0
5710,Together,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0
7373,Divorced,46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0
8755,Married,68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0
10738,Single,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0
4339,Married,67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0
10755,Married,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0
2968,Divorced,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0
8601,Married,80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0
503,Married,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0
8430,Together,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0
2139,Married,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0
1371,Single,79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0
9909,Married,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0
7286,Together,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0
6566,Married,72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0
4114,Married,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0
1331,Single,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0
2225,Divorced,82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0
9381,Married,66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0
6260,Together,82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0
10383,Divorced,70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0
7437,Single,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0
8375,Married,55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0
6853,Single,75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0
3076,Together,66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0
1012,Single,61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0
4137,Together,70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0
8082,Married,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0
1386,Together,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0
9369,Single,88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0
4477,Together,69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0
1357,Together,74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0
1402,Married,66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0
6312,Married,65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0
8132,Married,60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0
1050,Married,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0
5846,Divorced,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0
1859,Married,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0
7503,Single,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0
10401,Together,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,1
1618,Together,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0
3332,Single,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0
2261,Married,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0
5346,Married,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0
4119,Together,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0
535,Divorced,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0
5268,Married,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0
273,Married,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0
4452,Single,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0
8504,Married,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0
771,Together,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0
11178,Single,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0
2230,Married,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0
7516,Married,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0
11100,Divorced,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0
4646,Married,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0
3037,Married,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0
1473,Single,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0
1016,Single,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0
4518,Together,85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0
9370,Married,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0
8908,Married,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0
8373,Together,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0
7533,Married,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0
2683,Married,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0
3629,Single,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0
10991,Married,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0
5077,Together,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0
7431,Single,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0
3267,Together,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0
999,Single,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0
9215,Married,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0
2286,Single,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0
1592,Married,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0
367,Married,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0
5234,Together,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0
9862,Together,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0
9805,Together,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0
6205,Single,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0
8442,Married,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0
7386,Divorced,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0
7215,Single,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0
1491,Together,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0
11071,Single,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0
3381,Married,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0
11051,Together,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0
8026,Married,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0
9597,Married,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0
5290,Married,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0
1685,Together,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0
5342,Divorced,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0
9579,Married,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0
1461,Divorced,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0
821,Single,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0
11084,Together,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0
8690,Married,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0
2937,Single,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0
9701,Together,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0
9949,Married,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0
10837,Married,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0
3120,Together,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,1
5885,Married,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0
4050,Married,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0
3830,Married,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0
7987,Married,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0
7798,Together,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0
7055,Together,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0
10240,Together,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0
3025,Single,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0
9283,Single,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0
9970,Together,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0
2730,Single,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0
2795,Single,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0
9260,Married,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0
8182,Married,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0
10095,Divorced,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0
4370,Together,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0
10573,Divorced,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0
3712,Divorced,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0
6637,Single,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0
3152,Together,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0
5610,Together,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0
6460,Married,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0
1349,Married,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0
1880,Together,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0
641,Single,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,0
8717,Married,80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0
10314,Married,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0
10854,Married,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0
10492,Together,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0
6935,Married,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0
7698,Married,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0
3559,Married,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0
10562,Married,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0
10796,Married,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0
2563,Married,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0
3518,Married,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0
5823,Single,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0
3934,Married,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0
6982,Married,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0
6431,Married,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0
9733,Together,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,0
5602,Together,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0
7829,Divorced,36640,1,0,99,15,6,8,7,4,25,1,2,1,2,5,1
1324,Married,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0
326,Married,51148,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0
7224,Married,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0
6999,Married,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0
9938,Married,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0
6422,Married,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0
3182,Single,46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,0
7300,Divorced,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0
10424,Single,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0
8727,Divorced,63693,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0
2798,Together,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0
1030,Single,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0
624,Single,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,0
5176,Together,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,0
5552,Divorced,48721,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0
868,Married,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0
380,Divorced,64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,0
2677,Together,46097,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0
6521,Together,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0
6927,Married,44377,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0
2877,Together,46014,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0
0,Married,70951,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0
1584,Married,41443,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0
7264,Single,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0
6274,Married,83790,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0
454,Together,69508,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0
1755,Together,45204,1,0,93,30,11,25,29,1,18,1,1,1,4,3,0
2075,Married,72460,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0
4785,Together,77622,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0
9076,Married,30732,1,0,44,155,1,25,0,1,3,4,4,1,4,8,0
7079,Divorced,63887,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0
4653,Together,42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0
7375,Together,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0
709,Divorced,51537,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0
460,Married,79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0
3726,Together,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0
6798,Single,37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0
5341,Divorced,81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0
1606,Together,38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0
9617,Single,15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0
3233,Married,62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0
89,Married,22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0
2936,Together,23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0
9449,Single,79761,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0
7297,Single,7500,1,0,54,5,3,10,12,7,20,4,3,1,3,7,0
11004,Single,60182,0,1,23,8,0,5,7,0,2,1,1,0,2,4,0
9940,Together,64961,0,1,97,382,114,276,75,124,38,2,6,4,4,3,0
10735,Single,22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0
9529,Married,73687,0,0,8,559,153,503,218,13,181,1,3,9,9,2,0
6439,Married,61074,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0
7411,Married,31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0
2176,Married,80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0
9265,Married,75027,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0
8867,Married,67546,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0
8932,Together,65176,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0
10236,Single,31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8,0
6340,Single,29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0
10089,Divorced,102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0
2227,Together,26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0
10992,Together,75702,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0
5304,Single,30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,0
309,Together,63342,0,1,48,918,21,118,13,10,21,3,8,3,5,6,0
3406,Single,45989,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0
2661,Single,18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0
3153,Single,40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0
10264,Divorced,15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,0
1184,Divorced,69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0
4200,Married,44159,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0
9396,Married,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0
2387,Together,43776,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0
6690,Married,38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0
1225,Married,80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,0
9703,Married,38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,0
291,Married,72940,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0
4557,Together,22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0
2379,Single,69267,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0
5726,Single,31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,1
3066,Together,61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0
6336,Married,29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0
10967,Divorced,33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0
2304,Together,66313,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0
3445,Single,60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0
7828,Together,77882,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0
3762,Single,69867,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0
4391,Divorced,63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0
4669,Married,24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0
10144,Together,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0
8652,Together,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0
1672,Together,65640,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0
8962,Married,44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0
9974,Married,30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0
10983,Together,75278,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0
4697,Divorced,35416,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0
9262,Together,32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,0
7254,Together,38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0
4543,Married,82497,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0
4927,Together,16626,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0
10451,Together,29672,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0
2926,Together,55951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0
2874,Divorced,35388,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0
9738,Together,42386,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0
7119,Single,68627,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0
3924,Divorced,57912,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0
5827,Divorced,35246,1,1,53,36,0,12,2,2,10,4,3,1,3,5,0
5596,Together,58821,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0
10812,Married,46377,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0
1717,Single,39747,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0
9491,Together,23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0
9274,Married,80950,0,0,44,525,147,112,219,147,63,1,6,7,9,2,0
6963,Single,77457,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0
4440,Married,64100,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0
1379,Together,42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0
10032,Divorced,12571,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0
2826,Married,22574,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0
6320,Single,70893,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0
3050,Married,54198,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0
231,Together,28839,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0
2392,Married,40321,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0
9478,Single,66503,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0
113,Married,30833,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0
1802,Married,64795,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0
520,Married,34421,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0
8275,Divorced,47025,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0
9750,Divorced,64325,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0
2607,Single,40464,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0
7214,Married,62187,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0
5835,Divorced,14849,1,0,39,21,2,28,3,2,9,3,2,0,4,8,0
3896,Married,27255,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0
10350,Married,54432,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0
7786,Single,29999,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0
2861,Single,24072,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0
663,Single,33996,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0
10675,Married,66334,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0
2521,Married,35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,0
9592,Together,22010,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0
10151,Divorced,62204,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0
7381,Divorced,75693,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0
4099,Married,30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0
9560,Together,83003,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0
1150,Together,83532,0,0,36,755,144,562,104,64,224,1,4,6,4,1,0
10172,Single,68655,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0
11191,Divorced,41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0
9707,Married,55212,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0
6245,Together,59292,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0
8234,Together,27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8,0
1411,Divorced,82623,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0
8553,Married,44300,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0
1826,Divorced,84835,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0
11030,Married,33181,1,0,90,9,0,3,0,0,4,1,1,0,2,6,0
2579,Married,71113,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0
175,Married,71952,1,0,93,656,80,455,52,107,93,2,8,4,8,4,0
9185,Single,69759,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0
11056,Married,72099,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0
9365,Single,60000,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0
6201,Single,38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,1
2061,Married,50737,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0
6184,Married,68462,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0
6142,Married,65073,0,0,65,629,17,177,69,0,8,1,5,3,5,2,1
4107,Together,46681,0,2,52,269,15,69,15,19,38,2,4,6,4,5,0
7274,Married,78618,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0
2958,Married,28442,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0
933,Married,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0
5837,Married,51479,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0
10704,Single,54803,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0
5125,Married,79530,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0
4432,Divorced,31615,1,0,82,2,3,20,6,11,9,2,2,0,3,7,0
5955,Together,72025,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0
2928,Single,52614,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0
5680,Married,35684,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0
10313,Married,48178,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0
2557,Single,29548,1,0,52,7,1,6,3,1,11,1,1,1,2,4,0
1245,Single,63810,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0
1519,Single,38578,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0
10703,Single,46098,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0
1726,Single,22585,0,0,23,3,9,15,13,2,39,1,1,1,2,9,0
4459,Single,30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0
1729,Together,66426,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0
