item_id,asin,brand,rating,totalReviews,price,originalPrice
i0087,B00QHJTOK0,Samsung,1,1,0,0
i0088,B00SIB3HS0,Samsung,2.6,32,169.93,0
i0089,B00TFAVFL4,Motorola,3.8,1,0,0
i0090,B00TRLXO6U,Nokia,3.8,112,0,0
i0091,B00V7FXCZ2,Samsung,3.5,1,0,0
i0092,B00V7FY44A,Samsung,3.5,505,0,0
i0093,B00V8STWY8,Apple,2.7,6,219.95,0
i0094,B00VH2TWBS,Samsung,3.1,243,0,0
i0095,B00VQQ294C,Apple,2.8,60,0,0
i0096,B00WF988BW,Samsung,3.7,264,169.98,0
i0097,B00WHE2WCG,Samsung,2.9,338,219.88,0
i0098,B00WIYFBWI,Samsung,2.3,7,630.71,0
i0099,B00X2ZQ5RM,Samsung,2.8,134,0,0
i0100,B00XQVDW6Y,Motorola,3.7,64,89.99,0
i0101,B00ZE8HRYK,Samsung,3.7,325,585.28,694.99
i0102,B010CK8O9Q,Sony,3.1,4,0,0
i0103,B010V43VFA,Sony,3,41,144.9,0
i0104,B011AC4U7A,Samsung,3.3,142,0,0
i0105,B0134TVNSQ,Samsung,3.9,162,0,0
i0106,B013XAPUW6,Samsung,3.6,799,399.99,0
i0107,B014GCG150,Samsung,4.1,645,148.98,0
i0108,B014V5XDV2,Samsung,3.2,90,121.46,134.3
i0109,B014VLTTC8,Samsung,2.8,32,290,399.99
i0110,B015ROR4PC,Motorola,3.5,36,74.99,0
i0111,B016WYTYFE,Samsung,3.4,2,0,0
i0112,B0172EEAQQ,Nokia,2.9,127,46.83,52.8
i0113,B018OMP8ES,Samsung,3.6,799,300.55,0
i0114,B018TUJE9U,Samsung,3.3,14,0,0
i0115,B0192XJ0P6,Motorola,2.8,289,0,0
i0116,B019S654DO,Samsung,3.7,138,0,0
i0117,B019TWO7DU,HUAWEI,3.3,2,0,0
i0118,B019VHBB32,Motorola,3.3,58,239.99,0
i0119,B01ATTBXY8,Motorola,3.8,209,74.99,0
i0120,B01AUOS8BI,Apple,2.5,7,239.98,0
i0121,B01BG1MW5C,Samsung,3.5,91,0,0
i0122,B01BHEBDVW,Motorola,3.1,26,0,0
i0123,B01BLSX96G,Samsung,3.3,9,0,0
i0124,B01CJ3SCJ6,Samsung,3.2,250,284.98,0
i0125,B01CJ3SCN2,Samsung,3.6,220,0,0
i0126,B01CJ3SF02,Samsung,3.8,37,0,0
i0127,B01CN1RZY2,Samsung,2.7,34,0,0
i0128,B01CP4CGBE,Samsung,3.4,25,0,0
i0129,B01CP4CGSC,Samsung,3.9,56,0,0
i0130,B01CR1FQMG,Apple,3.8,1,160.08,659.99
i0131,B01CU22RL0,Samsung,3.3,63,0,0
i0132,B01CYYYRNK,Samsung,3.1,394,248.7,0
i0133,B01D0JV7AO,Samsung,3.5,1,119.95,0
i0134,B01D0JXCKW,Samsung,3.5,1,159.99,0
i0135,B01D1J9BGU,Samsung,3.8,783,399,0
i0136,B01D4Z97UG,Samsung,2.9,11,122.99,0
i0137,B01D53A7KG,Samsung,3.6,139,129,0
i0138,B01DL9TVW4,Samsung,3.2,1,210.99,0
i0139,B01DUPOOMG,Samsung,3.7,29,0,0
i0140,B01DZ2CS4U,Samsung,3.2,250,275.99,0
i0141,B01DZJFWNC,Motorola,3.5,1,0,0
i0142,B01DZJFWWS,Motorola,3.5,1,0,0
i0143,B01E7FK14S,Samsung,3.9,50,0,0
i0144,B01EIVMETG,Samsung,3.2,169,104.9,0
i0145,B01EWKHIAI,,3.9,67,242.99,0
i0146,B01F5FYXNO,Samsung,3.6,91,139.97,0
i0147,B01FCFZS3G,Samsung,3.5,211,289.44,0
i0148,B01FIW1B9S,Samsung,3.8,194,0,0
i0149,B01FJT7E3M,Sony,3.6,441,119.99,299.99
i0150,B01FJT7MZC,Sony,3.9,117,169,0
i0151,B01FJT7N4W,Sony,3.8,200,199.99,0
i0152,B01GP2XIJQ,Samsung,3.9,11,199.99,0
i0153,B01GXAT0CE,Apple,3.8,2,133.55,0
i0154,B01H93TCCM,Samsung,3.6,39,0,0
i0155,B01HFJR6NW,Motorola,3.3,17,0,0
i0156,B01HFK15BU,Samsung,3.4,45,257.98,0
i0157,B01HFLRS38,Motorola,3.4,15,134.99,0
i0158,B01HTZ4T8C,Samsung,3.7,190,145,0
i0159,B01I0HP1Z8,Samsung,2.9,55,0,0
i0160,B01I8V0MJQ,Samsung,3.8,194,0,0
i0161,B01INV912A,Motorola,3,1,206.95,0
i0162,B01J63O3KY,Samsung,2.9,2,345.92,0
i0163,B01J63ODA4,Samsung,2.5,3,133.65,0
i0164,B01JAWWVXW,Apple,4.1,195,198.9,339.99
i0165,B01K5R3GXK,Motorola,3.2,77,59.99,0
i0166,B01K5RGPIS,Samsung,2.9,61,0,0
i0167,B01L9D7J00,Samsung,3.3,115,73.5,0
i0168,B01LEL8ABY,Motorola,3,305,0,0
i0169,B01LXF0WML,Sony,3.9,255,269.99,679.99
i0170,B01LY3OB8D,Google,3.9,455,185,0
i0171,B01LYHIUQ7,Apple,4.1,46,152.95,0
i0172,B01LZXT34U,Samsung,4,12,198.99,0
i0173,B01M01YX15,Google,3.5,302,219.99,0
i0174,B01M0PADR4,Google,3.4,429,201.48,0
i0175,B01M1CT4PT,Google,3.8,20,289.97,0
i0176,B01M1HY1E3,Sony,3.6,249,259.99,0
i0177,B01M59QP6C,Samsung,3.2,289,169.95,0
i0178,B01M6X8SDM,HUAWEI,4.2,1,0,0
i0179,B01MDMJGYT,Motorola,4.1,161,169,0
i0180,B01MSC0FK8,Samsung,3.5,140,174.95,0
i0181,B01MY2FEAS,Samsung,3.7,14,366.73,0
i0182,B01MZG55UE,Samsung,3.1,124,134.99,0
i0183,B01N064CH1,Motorola,3.3,27,129.99,0
i0184,B01N0O2MFZ,Motorola,3.5,7,141.99,0
i0185,B01N1Q6V7K,Samsung,3.6,41,105,0
i0186,B01N2HPFWK,Google,3.9,87,329.99,399.99
i0187,B01N37MPDI,Samsung,3.9,6,429.99,0
i0188,B01N4E0RF1,Samsung,3.8,600,148.96,0
i0189,B01N4IHGHI,Apple,3.7,46,150,0
i0190,B01N4R20RS,Apple,3.6,4,209.94,0
i0191,B01N5BOBIF,Google,3,26,0,0
i0192,B01N5WQ2P4,Samsung,3.2,10,149.99,0
i0193,B01N9I0RWL,Apple,4.6,3,199.99,0
i0194,B01N9R1JA7,Samsung,3.7,8,65.23,0
i0195,B01N9TM7KG,Samsung,3.7,181,0,0
i0196,B01N9XOXCK,Samsung,3.8,606,219.97,0
i0197,B01N9YO1DS,Apple,3.5,227,215,399.99
i0198,B01NB1KG8U,Samsung,4,308,207.99,0
i0199,B01NC157KR,Samsung,3.3,69,209,228.99
i0200,B01NC2MEJP,Samsung,3.2,301,163.99,0
i0201,B06WP78R6X,Samsung,3.6,60,199.72,0
i0202,B06WRSK754,Samsung,3.2,31,153.97,249.99
i0203,B06WWLYGWW,Samsung,5,2,129.95,0
i0204,B06X9HVVC5,Sony,3,232,249.99,0
i0205,B06X9X15Y8,Apple,3.9,2,299.99,0
i0206,B06XGLHP8V,Apple,3.5,83,288,0
i0207,B06XGZHSBS,Sony,3.7,117,129,0
i0208,B06XJCHZPW,Samsung,1,1,124.95,0
i0209,B06XR1K6HR,Apple,3.8,56,249.99,0
i0210,B06XR8G1TX,Apple,3.5,394,156.88,165
i0211,B06XRG6S73,Apple,3.7,379,143.57,0
i0212,B06XRJQX91,Apple,3.6,427,158.88,271.84
i0213,B06XRJXL3R,Apple,4.1,153,324,549.99
i0214,B06XRN4RWL,Apple,3.8,28,304.99,0
i0215,B06XS2GWFC,Samsung,3.6,381,179.99,0
i0216,B06XS3CTJM,Apple,4,193,354.99,0
i0217,B06XS4978K,Apple,3.8,101,299.99,0
i0218,B06XS98LMS,Samsung,3.5,58,119,0
i0219,B06XSF5C42,Samsung,3.5,301,214.97,0
i0220,B06XW9RMYW,Samsung,3.5,160,255.99,0
i0221,B06XY93RFQ,Samsung,3,116,0,0
i0222,B06XYKR7GP,Samsung,4,54,459.98,0
i0223,B06XYMCMHD,Samsung,3.9,117,399.99,0
i0224,B06XZPNYL7,Samsung,3.1,20,398.11,0
i0225,B06XZRH5ZC,Samsung,4,117,429.99,0
i0226,B06XZWNRC5,Samsung,3.1,8,0,0
i0227,B06Y14K2C6,Samsung,4.1,83,439.98,0
i0228,B06Y14T5YW,Samsung,4,2,399.95,499.99
i0229,B06Y15CB1T,Samsung,4,3,419.95,0
i0230,B06Y15D68F,Samsung,3.6,24,393.55,0
i0231,B06Y16RL4W,Samsung,3.7,793,399.98,589.99
i0232,B06Y17BL9Y,Samsung,2.5,4,319.99,0
i0233,B06Y189H68,Samsung,3.5,48,414.98,0
i0234,B06Y18MNFG,Samsung,2.8,5,234.95,0
i0235,B06Y29N548,Samsung,3.5,25,249.95,0
i0236,B06Y2GX8K8,Sony,4,169,495,0
i0237,B06Y3HCFZT,Samsung,4.1,54,729.99,0
i0238,B06ZZMX54B,Samsung,5,1,0,0
i0239,B0711S4T9J,HUAWEI,3.2,42,64.9,0
i0240,B0714DBSNH,Motorola,3.8,28,129.99,0
i0241,B071DQ128D,Samsung,4.1,112,449.99,0
i0242,B071H9KKKF,Samsung,4,480,450.11,0
i0243,B071JP8XDJ,Sony,3.6,313,299,0
i0244,B071JPQYGK,Apple,3.5,12,284.99,549.99
i0245,B071KGTRG8,Samsung,3.6,27,0,0
i0246,B071VGLCRX,Samsung,3.7,173,139.99,0
i0247,B071VTYHDQ,Motorola,4.1,47,69.93,0
i0248,B071W9WQ8M,Apple,3.8,48,151.99,0
i0249,B071XBH5PL,Samsung,3.5,4,409.97,0
i0250,B071ZDQ6MV,Nokia,3.7,558,109,179
i0251,B0721KVTMC,Samsung,3.2,26,0,0
i0252,B0722NN2RG,Samsung,3.7,92,239.99,0
i0253,B0723HG35R,Samsung,3.8,3,189.95,0
i0254,B0723HG3FG,Samsung,2.9,13,119.99,0
i0255,B0724ZGB5K,Samsung,2.4,16,0,0
i0256,B072B7XSVT,Google,3.3,33,169.99,189
i0257,B072KPG9PN,Samsung,3.7,183,128.79,0
i0258,B072MQRRTR,Samsung,3.2,9,299.95,0
i0259,B072N3GKSM,Google,2.9,319,109.95,0
i0260,B072QR6NKG,Samsung,3.9,11,309.95,477.95
i0261,B072R77NG5,Motorola,3.2,5,296,0
i0262,B072V2BNM6,Samsung,3.7,45,129.99,0
i0263,B072ZWCKP5,Motorola,4.2,336,244.45,0
i0264,B0731HBTZ7,Apple,3.8,452,199.95,210
i0265,B0731KVYPN,Google,3.2,41,139.95,0
i0266,B0732NTJ2M,Apple,3.5,58,138,0
i0267,B0735HPCB1,Samsung,2.5,6,49.99,59.99
i0268,B0743HD6MS,Apple,3.9,30,199.37,208.99
i0269,B0743J3P8G,Samsung,1,1,138.95,0
i0270,B0743N1S93,Samsung,4.5,6,167.99,0
i0271,B07455VT9F,Samsung,4.2,16,139,0
i0272,B074MJ3Y7L,Samsung,3.6,16,499.99,0
i0273,B074MJDYZM,Samsung,5,2,743.48,0
i0274,B074N8N1V4,HUAWEI,4.1,12,89.9,0
i0275,B074P62MW8,Sony,3.8,81,269.99,0
i0276,B074PYHP6Q,Samsung,2.8,4,269.99,0
i0277,B074VDZZKW,Motorola,4.4,11,0,0
i0278,B074VFCXB3,Motorola,4.5,10,299.99,0
i0279,B074VFRKZG,Motorola,4.1,184,261.84,0
i0280,B074XF6JCD,Motorola,3.5,20,0,0
i0281,B0751KLN39,Motorola,3.9,11,195,0
i0282,B07536MYBQ,Samsung,3.9,546,866.36,0
i0283,B0753QKW5L,Samsung,2.9,22,114.55,0
i0284,B07579T83L,Nokia,3,133,34.99,0
i0285,B0757LYR7P,Samsung,5,2,289.95,0
i0286,B075FL4H89,Nokia,3.4,497,54.99,59
i0287,B075FLG6MV,Nokia,3.1,359,194.97,0
i0288,B075H3VWGN,Samsung,4.1,41,287.32,0
i0289,B075QRTVNC,Sony,3.7,34,255,0
i0290,B075SKYZXY,Motorola,3.7,56,0,0
i0291,B075SPVK8D,Samsung,4.4,54,370.99,0
i0292,B075Z4NBZC,Samsung,5,1,202.95,0
i0293,B075ZD2WFN,Samsung,3.6,19,429.97,0
i0294,B075ZDV79Y,Samsung,2.6,6,479.98,0
i0295,B075ZGJMQY,Samsung,3.7,104,407.99,0
i0296,B075ZHJ1SK,Samsung,3.8,2,439.98,0
i0297,B075ZHWDN2,Samsung,3.3,10,448.97,0
i0298,B07643YNY8,Apple,3.8,61,151.79,249.99
i0299,B0764K8Z1H,Samsung,4.1,8,270.95,0
i0300,B0766HPGYP,Google,4,153,0,0
i0301,B0766NJPBN,Google,4,153,338.99,0
i0302,B0766TPHSH,Google,4.1,153,409.88,0
i0303,B0767538YH,Google,3.7,66,392,0
i0304,B076BVNGZQ,Nokia,4,7,58.9,0
i0305,B076BZ18GS,Nokia,3.7,15,0,0
i0306,B076HVSJQR,Samsung,3.9,1,269,0
i0307,B076KC34PM,Apple,4.1,26,334.98,499.99
i0308,B076M9RQJ2,Samsung,4.1,167,269.99,0
i0309,B076MB4CYN,Google,3.5,32,100,109.99
i0310,B076QKMQ81,Google,3.7,23,0,0
i0311,B076XLLCQC,Samsung,4,891,330.95,0
i0312,B07753NSQZ,Apple,4,96,349.8,379.99
i0313,B0775451TT,Apple,3.9,436,479,749.99
i0314,B07755LZ67,Apple,4,176,374.99,0
i0315,B07756QYST,Apple,4,1,311.97,0
i0316,B0775717ZP,Apple,4,1,307.8,0
i0317,B077578VXH,Apple,4.2,72,299,319.99
i0318,B077578W38,Apple,3.9,442,448.95,0
i0319,B0775H5HJW,Apple,3.8,139,499.99,735
i0320,B0776ZJ1C3,HUAWEI,3.3,4,24.5,0
i0321,B0777V5BRJ,Samsung,3.2,24,0,0
i0322,B077BL94N3,Samsung,4,10,479.98,0
i0323,B077J7H62P,Apple,4.2,124,211.39,0
i0324,B077MR13HM,Samsung,4,44,0,0
i0325,B077NJQPGB,Apple,3.6,8,256.82,0
i0326,B077NK4TZ7,Apple,2.1,2,229.99,245
i0327,B077NTKFDB,Apple,3.6,17,329.97,0
i0328,B077T4MVZ6,Samsung,2.5,32,94.99,0
i0329,B077V219SV,Samsung,3.3,31,0,0
i0330,B077XM1GZM,Apple,3.8,12,258.8,349.99
i0331,B077YTCMH9,Samsung,3.8,606,199,0
i0332,B077ZKKDWK,Sony,3.8,304,399.99,0
i0333,B077ZMWX1W,Sony,3.8,71,249.99,0
i0334,B0786PRKBP,Samsung,4,1,264.99,0
i0335,B0787V183F,Google,3.7,363,155.99,174.69
i0336,B0788F8DKC,Samsung,4.2,63,36.89,0
i0337,B0788ZD69Z,Samsung,4,1,298.95,0
i0338,B078BP86SC,Samsung,3.9,44,0,0
i0339,B078HFZVZ8,Apple,3.2,5,129.6,0
i0340,B078HL31D8,Samsung,4,37,0,0
i0341,B078KGP5K5,Google,3.7,9,0,0
i0342,B078RBVVCV,Motorola,3.5,56,175,0
i0343,B078SBFV72,Apple,5,7,166.19,189.85
i0344,B078WZ86Y9,Apple,3.3,58,234.35,0
i0345,B078YXQ38Z,Samsung,3.9,185,274.95,0
i0346,B079142R7Y,ASUS,3.5,155,229,0
i0347,B0791VS3N9,HUAWEI,4.3,2,349.99,0
i0348,B07946VKT8,Sony,3.7,9,0,0
i0349,B0799QJKQ5,Samsung,3.2,2,0,0
i0350,B0799ZMY6D,Google,4.1,292,219.99,0
i0351,B079C1K282,Google,4.1,254,189.96,210.67
i0352,B079C2Q6MH,HUAWEI,2.6,3,129.95,0
i0353,B079H6RLKQ,Samsung,4.1,2,499.99,599.99
i0354,B079HB518K,Apple,3.9,243,199,206.9
i0355,B079HG7TZS,HUAWEI,4.4,34,179.99,0
i0356,B079J59FGT,Google,3.3,17,0,0
i0357,B079J5MKXJ,Google,4,24,0,0
i0358,B079K78C1Y,Google,4.1,33,154.95,0
i0359,B079NM9SZL,Nokia,3.8,45,89,0
i0360,B079NQHRPS,Nokia,3.8,31,99,139
i0361,B079PS2HZM,HUAWEI,3.9,79,99.99,0
i0362,B079RJWMZG,Samsung,3.3,3,899.99,0
i0363,B079SQ5VHX,Samsung,4.3,122,519,0
i0364,B079TZ8NKG,Samsung,2.4,2,0,0
i0365,B079TZJF9F,Samsung,2,1,0,0
i0366,B079TZVTNQ,HUAWEI,3,1,49.9,0
i0367,B079X7DQ4Q,Samsung,3.9,95,449,0
i0368,B07B82VTX5,Sony,3.9,45,499.99,0
i0369,B07B9638J2,Samsung,4.3,25,619.99,0
i0370,B07BBQ56WS,Samsung,3.5,8,445.66,0
i0371,B07BBT3VXM,Samsung,3.8,11,0,0
i0372,B07BBZJ4G9,Samsung,3.8,11,899.99,0
i0373,B07BFCZYRM,Samsung,4.2,355,374.95,0
i0374,B07BFHTJTK,Samsung,3.6,27,179,0
i0375,B07BFPDGNX,Samsung,4.4,54,440.99,0
i0376,B07BH74WCW,Samsung,2.7,13,58.99,0
i0377,B07BHT4KGM,Samsung,3.9,95,503.09,0
i0378,B07BR995NC,Samsung,3.9,94,800,0
i0379,B07BZXDZKN,HUAWEI,3.7,27,169.99,0
i0380,B07C2VFMN2,Motorola,4.1,84,229.99,499.99
i0381,B07C4W6KR9,Samsung,3.1,4,119.95,0
i0382,B07C5X8Q3K,Sony,4.5,6,362.75,0
i0383,B07C61QBL7,Google,3.5,2,0,0
i0384,B07C65MFKH,Samsung,4.1,1,321.99,0
i0385,B07C65XFBB,Samsung,4,1,304.53,449.99
i0386,B07C6FCC8G,HUAWEI,4.4,602,389.94,0
i0387,B07C7KFZLB,Samsung,4.1,2,0,0
i0388,B07C8H8G4L,HUAWEI,3.5,48,78.9,0
i0389,B07CGMQDXW,Apple,4.2,1,373.53,0
i0390,B07CH2FZW5,Samsung,3.2,18,0,0
i0391,B07CHW5KMY,Motorola,3.8,212,118.96,118.97
i0392,B07CHWMYHP,Motorola,4.1,185,174.94,184.99
i0393,B07CHWTWYP,Motorola,3.8,115,167,0
i0394,B07CJKNL9R,Samsung,2.1,10,151.9,0
i0395,B07CLT3BDN,ASUS,4.3,97,499,0
i0396,B07CMBB6PH,HUAWEI,4.3,558,229.99,0
i0397,B07CT4JC7J,Google,4.2,28,203.51,219
i0398,B07CZR8YV4,Apple,3.9,2,295,0
i0399,B07D42T6MB,Apple,4.4,1,0,0
i0400,B07D6TQP6F,Apple,3.9,436,476,0
i0401,B07D9TTLZG,OnePlus,1,1,426.17,0
i0402,B07DCB61LG,OnePlus,4.4,59,479,0
i0403,B07DD71K4D,Nokia,3.5,64,109,0
i0404,B07DDD8PNQ,Nokia,3.9,77,159,0
i0405,B07DF9R73K,Sony,4.1,75,629.99,0
i0406,B07DP4X68W,Samsung,4.3,6,289,0
i0407,B07DXCGD56,Samsung,5,1,229.99,0
i0408,B07DZMB1ZK,Samsung,4.2,89,289,0
i0409,B07F2PWRZR,HUAWEI,4,52,89.96,0
i0410,B07F3YGL26,Xiaomi,5,1,139.99,155
i0411,B07FBQT1S5,Samsung,3.8,38,0,0
i0412,B07FKD3H9Q,Apple,5,10,249.99,299.95
i0413,B07FKWT3JP,Sony,4,1,179.99,0
i0414,B07FM9913M,Xiaomi,4.2,453,159.49,0
i0415,B07FMD7MRX,Motorola,2,4,154.97,0
i0416,B07FSD86KD,Nokia,2.9,22,61.99,0
i0417,B07FXRR28W,Samsung,3.7,9,344.91,0
i0418,B07FXYRG46,Samsung,4,12,0,0
i0419,B07FZH9BGV,Samsung,4.1,873,781.05,999.99
i0420,B07G3RDDXT,Samsung,3,9,599.99,0
i0421,B07G7FG26S,Apple,4,16,320,499.99
i0422,B07G7N1MD2,Motorola,3.8,52,0,0
i0423,B07G7QZKBG,Xiaomi,4.2,20,137.57,0
i0424,B07G8KK4XQ,Samsung,3.2,5,0,0
i0425,B07G8VPHG3,Xiaomi,4.3,149,154.49,0
i0426,B07G9PVX51,Samsung,3.4,42,220,0
i0427,B07GCBWWPL,Samsung,4.3,80,648,849.99
i0428,B07GDW2634,Samsung,4.4,5,269.99,0
i0429,B07GDW4N5C,Samsung,3.8,10,669.99,999.99
i0430,B07GGGTT78,Motorola,3,3,139,0
i0431,B07GL4WGSF,Samsung,4.1,55,575,0
i0432,B07GL6W1NR,Samsung,4.2,39,619.97,649.99
i0433,B07GNHMZ3N,Samsung,4.4,85,699.99,0
i0434,B07GPNGWNK,Xiaomi,4.5,60,268.99,0
i0435,B07GV9J7X8,Samsung,4.1,10,729.29,0
i0436,B07GVLKNB4,ASUS,5,1,94.45,99.25
i0437,B07GVNHQV4,Motorola,3.6,12,449,699.95
i0438,B07GW1DXFP,Samsung,3.6,108,93.99,0
i0439,B07GWFMLT8,Samsung,4.8,18,677,0
i0440,B07GWV23X7,Samsung,3.8,10,366.73,0
i0441,B07GX1DBD9,ASUS,2.8,4,96.98,0
i0442,B07GY16KMK,Samsung,3.2,5,0,0
i0443,B07GYK8MBD,Samsung,3.4,18,148.49,169.99
i0444,B07H41NB46,Xiaomi,4.3,237,314.5,0
i0445,B07H445L82,Samsung,3.6,15,88,93.99
i0446,B07H6V8TB9,Sony,4.1,83,0,0
i0447,B07H7SBBWQ,Xiaomi,4.1,57,139.48,0
i0448,B07H8Q3C9T,Samsung,4.1,300,85,0
i0449,B07H8QMZWV,Samsung,4.1,1,399,0
i0450,B07H8SBLBC,Motorola,3.8,117,89.99,159.99
i0451,B07HC3CSMR,Samsung,3.2,2,693.58,0
i0452,B07HC74RMG,Samsung,1,1,826.69,0
i0453,B07HCQ8VDQ,Samsung,3.3,50,262.49,299.99
i0454,B07HD3QC65,Nokia,3.3,484,209,0
i0455,B07HFHX6HX,Samsung,4.2,551,324.99,0
i0456,B07HFKWDK7,Motorola,3.2,52,129.99,0
i0457,B07HHRF89L,Nokia,3.7,20,89,0
i0458,B07HK4JNV1,Xiaomi,4.3,441,179.5,0
i0459,B07HKPMFZ5,Google,4,212,319.97,344
i0460,B07HKQ61NV,Apple,3.7,29,299,328.97
i0461,B07HKQJ6H1,Google,3.9,99,303.9,320.95
i0462,B07HMC84L1,Motorola,5,1,116.7,0
i0463,B07HQTWQVT,Sony,3.9,209,370.74,0
i0464,B07HXHPNKH,Motorola,4,28,0,0
i0465,B07J2Q68N4,Samsung,3.6,29,454.98,0
i0466,B07J4YLV46,Motorola,3.5,22,199,0
i0467,B07J4Z9647,HUAWEI,4.4,422,229.98,299.99
i0468,B07J5GH52Q,Samsung,4,20,26.43,0
i0469,B07J5VTRX6,Samsung,3.6,32,319,0
i0470,B07J62YCWB,Motorola,3.9,7,399.99,0
i0471,B07JB4W3L6,HUAWEI,4,1,499,0
i0472,B07JHXX5YR,,3.9,126,549,599
i0473,B07JLF13KV,Samsung,3.9,2,509.99,0
